Route,Stop,Community,Address,Easting,Northing,Date,Day,Frequency,Start,End,Timetable
F,Cotford St Luke School,Cotford St Luke,"Cotford St Luke School, Cotford St Luke, TA4 1JD",317021,127243,2017-01-17,Tuesday,4,13:55,14:25,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
F,Hillfarance Church,Hillfarance,"Hillfarance Church, Hillfarance, TA4 1AW",316639,124688,2017-01-17,Tuesday,4,14:35,14:5,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
G,Amberley,Blagdon,"Amberley, Blagdon, TA3 7SG",321096,118540,2017-01-18,Wednesday,4,9:30,9:45,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
G,Pear Tree Cottage,Churchstanton,"Pear Tree Cottage, Churchstanton, TA3 7QB",319166,113937,2017-01-18,Wednesday,4,10:00,10:20,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
G,Churchinford Village Hall & Playgroup,Churchinford,"Churchinford Village Hall & Playgroup, Churchinford, TA3 7RG",321357,112659,2017-01-18,Wednesday,4,10:30,11:15,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
G,Tatworth Memorial Hall,Tatworth,"Tatworth Memorial Hall, Tatworth, TA20 2QA",333256,105224,2017-01-18,Wednesday,4,11:45,12:15,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
G,Davies Close,Winsham,"Davies Close, Winsham, TA20 4JL",337213,106379,2017-01-18,Wednesday,4,13:00,13:20,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
G,Winsham School & Bell Inn,Winsham,"Winsham School & Bell Inn, Winsham, TA20 4HU",337481,106335,2017-01-18,Wednesday,4,13:25,14:05,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
G,Higher Chillington,Chillington,"Higher Chillington, Chillington, TA19 0PT",338883,110283,2017-01-18,Wednesday,4,14:20,14:40,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
H,Brook Street,Cannington,"Brook Street, Cannington, TA5 2HP",325880,139520,2017-01-19,Thursday,4,9:35,9:55,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
H,Otterhampton School,Combwich,"Otterhampton School, Combwich, TA5 2QS",325724,142372,2017-01-19,Thursday,4,10:05,10:50,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
H,Harbour,Combwich,"Harbour, Combwich, TA5 2QU",325920,142230,2017-01-19,Thursday,4,10:55,11:15,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
H,Combwich Post Office,Combwich,"Combwich Post Office, Combwich, TA5 2QW",325596,142085,2017-01-19,Thursday,4,11:20,11:40,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
H,Captains,Stockland Bristol,"Captains, Stockland Bristol, TA5 2PY",324387,143691,2017-01-19,Thursday,4,11:50,12:05,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
H,Shurton Inn,Shurton,"Shurton Inn, Shurton, TA5 1QE",320183,144308,2017-01-19,Thursday,4,12:20,12:50,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
H,Greyhound Inn,Stogursey,"Greyhound Inn, Stogursey, TA5 1QR",320321,142996,2017-01-19,Thursday,4,13:30,14:00,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
H,Town Close (No 30),Stogursey,"Town Close (No 30), Stogursey, TA5 1RN",319937,143096,2017-01-19,Thursday,4,14:05,14:35,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
H,Hill Top,Kilve,"Hill Top, Kilve, TA5 1SR",315746,142706,2017-01-19,Thursday,4,14:55,15:15,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
I,Gaunts Road,Pawlett,"Gaunts Road, Pawlett, TA6 4SF",329938,142738,2017-01-20,Friday,4,9:30,9:45,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
I,Brent Knoll Post Office,Brent Knoll,"Brent Knoll Post Office, Brent Knoll, TA9 4DT",333728,150169,2017-01-20,Friday,4,10:05,10:50,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
I,War Memorial,Lympsham,"War Memorial, Lympsham, BS24 0DS",333627,154185,2017-01-20,Friday,4,11:00,11:20,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
I,East Drive (off Strowlands),East Brent,"East Drive (off Strowlands), East Brent, TA9 4JQ",335002,151981,2017-01-20,Friday,4,11:30,12:00,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
I,Little Acre,Rooksbridge,"Little Acre, Rooksbridge, BS26 2UG",336311,152508,2017-01-20,Friday,4,12:10,12:30,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
I,Yew Tree Nursery,Biddisham,"Yew Tree Nursery, Biddisham, BS26 2SA",338077,152673,2017-01-20,Friday,4,13:10,13:25,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
I,Old School,Badgworth,"Old School, Badgworth, BS26 2RH",338207,153323,2017-01-20,Friday,4,13:30,13:45,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
